Course Name,Class,Section,Days & Times,Room,Instructor,Instruction Mode,Meeting Dates,Status
SPAN 27600 - Rdng:Mod Span Am Lit,7455,01-LEC Regular,MoTh 2:30PM - 3:45PM,West Bldg W1344,Magdalena Perkowska-Alvarez,In Person,01/25/2024 - 05/22/2024,Open
SPAN 31100 - Structr of Modn Span,9074,01-LEC Regular,TuFr 11:30AM - 12:45PM,West Bldg W707C,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 31200 - Advanced Spanish Writing,8982,01-LEC Regular,TuTh 7:00PM - 8:15PM,West Bldg W413,Rafael Fernandez,In Person,01/25/2024 - 05/22/2024,Open
SPAN 31300 - Spanish Stylistics,6667,01-LEC Regular,MoWe 5:30PM - 6:45PM,West Bldg W413,Rafael Fernandez,In Person,01/25/2024 - 05/22/2024,Open
SPAN 33600 - Latin American Civilization,7243,01-LEC Regular,Th 11:30AM - 2:20PM,ThomHunter 414,Maria Fischer,In Person,01/25/2024 - 05/22/2024,Open
SPAN 34100 - Intro:Hispanic Lit 1,6671,01-LEC Regular,TuFr 1:00PM - 2:15PM,West Bldg W1344,Diana Conchado,In Person,01/25/2024 - 05/22/2024,Open
SPAN 34200 - Intro:Hispan Lit 2,6349,01-LEC Regular,TuTh 5:30PM - 6:45PM,West Bldg W413,Monica Schinaider,In Person,01/25/2024 - 05/22/2024,Open
SPAN 36000 - Span American Lit Colonial,44152,01-LEC Regular,Th 5:30PM - 7:20PM,West Bldg W1344,Maria Fischer,In Person,01/25/2024 - 05/22/2024,Open
SPAN 37081 - Contemp Span Theater 19 & 20 C,45077,01-LEC Regular,Tu 4:00PM - 5:15PMFr 4:00PM - 5:15PM,Online-SynchronousWest Bldg W1344,Maria Hernandez-Ojeda,Hybrid Synchronous,01/25/2024 - 05/22/202401/25/2024 - 05/22/2024,Open
SPAN 37192 - Tell Story in Lat Am Nv Flm Ar,45082,01-LEC Regular,Mo 11:30AM - 2:20PM,North Bldg C112,Magdalena Perkowska-Alvarez,In Person,01/25/2024 - 05/22/2024,Open
SPAN 38300 - Trans:Engl into Span,8334,01-LEC Regular,TuTh 5:30PM - 6:45PM,Online-Synchronous,Tania Varela,Online Synchronous,01/25/2024 - 05/22/2024,Open
SPAN 39005 - Rl in Lang Ser Ind Fr Ho Pr Mg,45085,01-LEC Regular,MoWe 7:00PM - 8:15PM,West Bldg W207,Tania Varela,In Person,01/25/2024 - 05/22/2024,Open
SPAN 39100 - Internship in Translation,11486,01-INT Regular,TBA,TBA,TBA,In Person,01/25/2024 - 05/22/2024,Open
SPAN 39200 - Internship in Interpretation,11485,01-INT Regular,TBA,TBA,TBA,In Person,-,Open
SPAN 49100 - Honrs Crs in Spanish,6738,01-LEC Regular,TBA,TBA,TBA,In Person,-,Open
SPAN 49501 - Independent Study,6752,01-IND Regular,TBA,TBA,TBA,In Person,-,Open
SPAN 49502 - Independent Study,6854,01-IND Regular,TBA,TBA,TBA,In Person,-,Open
SPAN 49503 - Independent Study,9119,01-IND Regular,TBA,TBA,TBA,In Person,-,Open
SPAN 49801 - In Service,7734,01-INT Regular,TBA,TBA,TBA,In Person,-,Open
SPAN 49802 - In Service,8426,01-INT Regular,TBA,TBA,TBA,In Person,-,Open
SPAN 49803 - In Service,7055,01-INT Regular,TBA,TBA,TBA,In Person,-,Open
